maar,dummy,FDI,
1.33201522,1,"2,232",
4.271373984,1,"2,232",
1.898394822,1,"2,232",
2.277516347,1,"2,656",
0.62818125,1,"2,656",
0.933822394,1,"2,656",
2.875935068,1,"3,298",
2.779935068,1,"3,298",
3.280913216,1,"3,298",
4.386310041,1,"3,298",
2.564269746,1,"3,298",
3.280913216,1,"3,298",
6.782184174,1,"3,298",
1.084752592,1,"2,367",
-0.728955281,1,"2,367",
0.493065169,1,"2,367",
0.796033493,1,"2,367",
0.454479624,1,"2,539",
0.918470747,1,"2,539",
0.792376431,1,"2,539",
0.430014317,1,"2,539",
0.684468587,1,"2,539",
0.854928357,1,"2,539",
0.49598195,1,"2,903",
0.306840416,1,"2,903",
0.965896195,1,"2,243",
0.448891823,1,"2,243",
1.50152494,1,"2,243",
1.050063844,1,"2,243",
0.487786208,1,"2,787",
0.499303627,1,"3,540",
0.8669892,1,"1,990",
0.056595523,1,"1,990",
1.260863436,1,"2,957",
0.796273235,1,"2,957",
0.196205651,1,"2,536",
2.982580441,1,"3,087",
1.994433537,1,"3,087",
0.183698882,1,"6,153",
12.48616339,1,"2,233",
0.020513096,1,"2,233",
1.021157811,1,"3,410",
0.924423694,1,"3,410",
0.069837895,1,"2,041",
0.955409933,1,"2,041",
0.328548847,1,"2,041",
0.561899487,1,"2,041",
0.204533815,1,"3,317",
1.059529074,1,"3,317",
10.31377159,1,"3,317",
0.325221621,1,"3,317",
4.174255536,1,"4,266",
0.041123431,1,"4,266",
0.341965425,1,"4,266",
0.237579551,1,"4,266",
0.339574855,1,"4,266",
1.030083694,1,"4,401",
0.992458537,1,"4,401",
0.070390296,1,"4,401",
0.32437586,1,"4,401",
0.231593911,1,"4,401",
0.887943153,1,"4,401",
0.589014479,1,"4,401",
0.755112429,1,"4,401",
0.868963868,1,"4,401",
0.578725868,1,"4,401",
0.362512499,1,"4,401",
0.234078455,1,"2,372",
0.78738753,1,"2,372",
0.134158803,1,"2,372",
0.742205003,1,"2,372",
0.958838843,1,"2,372",
0.204898856,1,"2,372",
0.713527249,1,"2,372",
0.988412201,1,"2,372",
0.514517917,1,"2,372",
0.554391414,1,"2,372",
0.427948642,1,"2,372",
0.303022781,1,"2,372",
1.032032361,1,"2,372",
0.753866449,1,"2,372",
0.439399444,1,"4,118",
0.799132212,1,"4,118",
0.752812391,1,"4,118",
0.524064536,1,"4,118",
1.307768583,1,"4,118",
1.293796984,1,"4,118",
1.016386237,1,"4,118",
0.767077441,1,"4,118",
0.765651544,1,"4,118",
0.962492965,1,"4,118",
9.385817226,1,"4,118",
0.851627925,1,"4,118",
1.280731672,1,"4,118",
1.112076193,1,"3,062",
1.617104932,1,"3,062",
1.333962341,1,"3,062",
1.111504959,1,"3,062",
0.391853937,1,"3,062",
0.797850295,1,"3,062",
1.081866505,1,"3,062",
0.581869435,1,"3,062",
0.863489262,1,"3,062",
1.030841031,1,"3,578",
0.845548938,1,"3,578",
0.546334535,1,"3,578",
0.857781655,1,"3,578",
1.188976235,1,"3,578",
0.752944373,1,"3,578",
1.954344947,1,"3,578",
1.086795349,1,"3,578",
2.226701719,1,"3,578",
1.31664995,1,"3,578",
1.919215904,1,"3,578",
1.586113848,1,"3,578",
1.897808103,1,"3,578",
1.387887268,1,"3,960",
0.954973623,1,"3,960",
1.172930855,1,"3,960",
1.028417279,1,"3,960",
1.420281095,1,"3,960",
1.701180494,1,"3,960",
19.61582058,1,"3,960",
2.853810207,1,"3,960",
17.25036263,1,"3,960",
1.415562434,1,"3,960",
2.275555929,1,"3,960",
1.707330728,1,"3,960",
1.488802481,1,"3,960",
17.78501241,1,"3,960",
1.688590089,1,"3,960",
26.37438164,1,"4,968",
3.171185327,1,"4,968",
1.9889195,1,"4,968",
2.08226299,1,"4,968",
3.276736327,1,"4,968",
3.316294831,1,"4,968",
19.61304962,1,"4,968",
2.337793258,1,"4,968",
1.296728649,1,"4,968",
1.23493987,1,"4,968",
1.681141503,1,"4,968",
8.559477531,1,"4,968",
1.205589787,1,"4,968",
13.27965477,1,"4,968",
1.72180956,1,"4,968",
1.684124648,1,"4,968",
0.111808286,0,"3,944",
1.508909735,0,"3,944",
1.484917755,0,"3,120",
1.914584864,0,"3,120",
-0.050683148,0,"3,120",
2.69721719,0,"3,120",
2.555989633,0,"3,120",
2.197612978,0,"3,169",
0.272177068,0,"3,169",
1.14791798,0,"3,169",
1.746491928,0,"3,169",
0.949997424,0,"3,169",
1.967068662,0,"3,169",
1.153970054,0,"3,169",
1.157052855,0,"3,169",
1.344083433,0,"3,427",
1.086660527,0,"3,259",
1.198079559,0,"3,259",
0.594344818,0,"3,259",
0.72300646,0,"4,219",
1.162685309,0,"4,219",
1.6514322,0,"4,219",
1.592116903,0,"4,219",
1.727039141,0,"4,219",
1.042541338,0,"4,552",
0.484953959,0,"4,552",
1.99289717,0,"4,552",
0.788874748,0,"4,552",
0.45725883,0,"5,163",
0.810924174,0,"4,512",
1.087727443,0,"4,512",
0.775871988,0,"4,512",
0.920955862,0,"4,512",
0.765694774,0,"4,512",
1.071548088,0,"4,512",
0.793145477,0,"4,512",
0.767817623,0,"3,208",
1.302570851,0,"3,208",
1.178664472,0,"3,208",
0.604006055,0,"3,208",
0.642132432,0,"3,208",
0.264542143,0,"3,208",
0.167249596,0,"2,900",
0.37381365,0,"2,900",
1.597589272,0,"3,136",
0.404642464,0,"3,136",
0.87444959,0,"3,136",
0.654670926,0,"3,003",
0.613144045,0,"3,003",
1.064181555,0,"3,160",
1.084523888,0,"3,160",
1.015817784,0,"3,160",
1.311409056,0,"2,921",
0.595688967,0,"2,921",
0.374233652,0,"2,921",
0.08831478,0,"3,262",
1.039340944,0,"3,262",
0.799010502,0,"3,262",
0.706225223,0,"3,262",
1.237258855,0,"4,484",
0.768173827,0,"4,484",
0.70922339,0,"3,152",
1.592427834,0,"3,152",
1.615406563,0,"4,730",
1.352339549,0,"4,730",
2.4130093,0,"3,310",
1.784576556,0,"3,310",
0.439542882,0,"3,310",
0.193051712,0,"3,310",
0.382436115,0,"3,310",
1.833902772,0,"1,832",
0.381749076,0,"1,854",
0.392895723,0,"1,854",
0.690831027,0,"3,454",
1.81443804,0,"3,454",
0.702019752,0,"4,407",
1.698485448,0,"2,728",
1.186776117,0,"2,728",
0.453934066,0,"3,891",
1.326443691,0,"4,719",
1.586845152,0,"4,719",
1.367140629,0,"4,838",
1.803251136,0,"4,530",
1.510141406,0,"4,530",
0.477086367,0,"4,530",
1.349611208,0,"4,530",
0.522340719,0,"4,530",
0.217863072,0,"4,530",
1.105735627,0,"4,530",
1.102290411,0,"4,530",
1.158478134,0,"4,530",
1.104935049,0,"4,530",
0.595952517,0,"4,530",
0.297011458,0,"4,530",
